folder,snd,entry,set_name,count,rmse,corr
samba,AGOGO_HI.SND,6,AGOGO_HIGH,6200,34.25473409339916,0.9995662237728491
samba,AGOGO_LO.snd,7,AGOGO_LOW,7360,32.63122807164244,0.9993639200940729
samba,BONGO1H.SND,8,Bongo1H,12520,28.61822170112682,0.9998995901893326
samba,BONGO2L.SND,9,Bongo2L,17000,30.347607297822748,0.9998888005729415
samba,CABASA2.SND,26,CABASA2,7320,38.11699026017653,0.9998139147995285
samba,CASTA-1.SND,27,CASTA-1,1760,35.83442974676427,0.9999533721636524
samba,CLAVES.SND,25,CLAVES,2800,34.02951591921372,0.999878911739295
samba,CONGA2.SND,4,Conga2,15840,31.04057219729363,0.9998151820461669
samba,CONGA2L.SND,5,Conga2L,15600,24.827929739360904,0.9999586767160283
samba,COWBELL2.SND,10,Cowbell2,13480,30.21182328635863,0.9997752546153217
samba,GIRO-2.SND,28,GIRO-2,8000,35.69544966109016,0.9999666991946335
samba,HAT2CLSD.SND,19,HAT2CLSD,16000,32.75221369060816,0.9998039882699795
samba,HAT2MED.SND,20,HAT2MED,24000,35.40256435501993,0.9997907042821194
samba,HAT2OPN.SND,21,HAT2OPN,40000,35.1316127415699,0.999773315717406
samba,KICKT-5.SND,0,Kickt-5,4880,34.7479956502554,0.999987021669048
samba,RIM-2.SND,11,RIM-2,13160,30.648914400529545,0.9998785856673228
samba,ROCK-RID.SND,23,ROCK-RIDE2,33520,36.287478229602186,0.9878283622156433
samba,SAMBACRA.snd,2,sambacrash,128000,47.276884458016255,0.9994901640684555
samba,SN-HI3.SND,1,SN-HI3,19200,33.28335129235238,0.9998472505592124
samba,TAMB_HIT.SND,17,TAMB_HIT,11320,37.18823425212915,0.9990009050285886
samba,TIMB2LOW.SND,22,TIMB2LOW,8080,33.21883021056982,0.9997942378113094
samba,TOM-L2.SND,14,TOM-L2,20560,30.500770945808227,0.9999718903419271
samba,TOM-M2.SND,12,TOM-m2,19840,25.173565642372527,0.9999242590675038
samba,WHISTLE1.SND,18,WHISTLE1,11800,32.59907756169504,0.9999394981437599
samba,timb2hig.SND,24,TIMB2HIGH,9160,31.34570022433017,0.9993509679355768
studio,BASSGUIT.SND,0,BASSGUIT,8000,39.50484364624499,0.9999933396849826
studio,BELRIDE1.SND,16,BELRIDE1,60000,34.037350536031255,0.9996259351052
studio,CLAP#1.SND,17,CLAP#1,20000,34.82614492277992,0.9999571741668813
studio,COWBEL#1.SND,18,COWBEL#1,14000,33.66691892658757,0.9999549643416987
studio,CRASH_#1.SND,24,CRASH_#1,100000,34.70320059579495,0.9998581379161569
studio,HAT1CLSD.SND,19,HAT1CLSD,16000,27.896718839809655,0.9998337391666448
studio,HAT1MED.SND,20,HAT1MED,24000,33.444752698605306,0.9998326620231037
studio,HAT1OPN.SND,21,HAT1OPN,40000,34.979472450983465,0.9997482785113916
studio,KICK#1.SND,22,KiCK#1,12000,22.522651366309837,0.9999835519713602
studio,RIDE_#1.SND,23,RIDE_#1,56000,34.50345270729786,0.9988272729378418
studio,SHAKER#1.SND,26,SHAKER#1,10000,34.80489921293982,0.9997223555204868
studio,SIDESTK1.SND,27,SIDESTK1,20000,36.95716298057708,0.9997092551073024
studio,SNARE#1.SND,28,SNARE#1,24000,29.297876377565444,0.9999301341755377
studio,TAMB_#1.SND,29,TAMB_#1,20000,33.232067153806405,0.9995031599455033
studio,TOM#1_HI.SND,30,TOM#1_HI,36000,25.01726805601936,0.9999768328363875
studio,TOM#1_LO.SND,32,TOM#1_LO,59560,20.235220368881404,0.9999653481460421
synth,BASS2.SND,0,BASS2,11320,41.61720185003106,0.9999964432486464
synth,CRASH3.SND,16,CRASH3,123000,36.670395290220654,0.9994007946931543
synth,DOOR.SND,29,DOOR,21000,34.26986267410384,0.9999622137384391
synth,EL_RIM.SND,27,EL_RIM,7000,34.666261641301254,0.9998512321381178
synth,GLASS.SND,26,GLASS,26120,34.23306544533642,0.9995639520443966
synth,HAT1CLSD.SND,19,HAT1CLSD,16000,27.896718839809655,0.9998337391666448
synth,HAT1MED.SND,20,HAT1MED,24000,33.444752698605306,0.9998326620231037
synth,HAT1OPN.SND,21,HAT1OPN,40000,34.979472450983465,0.9997482785113916
synth,RIDE4.SND,24,RIDE4,36960,33.900981601480176,0.9989680754589977
synth,RIDE4B.SND,25,RIDE4B,38440,33.94822715825411,0.9995920123566707
synth,SOUND013.SND,22,sound013,12000,31.418742273493745,0.9999756061228269
synth,SYM1.SND,31,SYM1,24000,29.44125124662815,0.999987781213595
synth,SYN_TOML.SND,17,SYN_TOML,22120,31.894993731831,0.9999641493325969
synth,SY_SNR1.SND,30,SY_SNR1,20000,38.84536800144601,0.9999200398618967
synth,SY_TOM1.SND,28,SY_TOM1,40000,34.63958231797286,0.9998262676036068
uk-6,S5_CHINA.SND,14,S5_CHINA,108000,29.461106700368095,0.9995648702573369
uk-6,S5_CHOKE.SND,16,S5_CHOKE,20000,34.48598278577684,0.9999038267684062
uk-6,S5_CRS1.SND,12,S5_CRS1,60000,34.456928532809684,0.9996714223326115
uk-6,S5_CRS2.SND,13,S5_CRS2,60000,34.57240474995196,0.9997925750240715
uk-6,S5_HH_CL.SND,0,S5_HH_CL,4000,35.29631522358767,0.9993853367059565
uk-6,S5_HH_MD.SND,1,S5_HH_MD,12000,34.29437612324949,0.9996487966145029
uk-6,S5_HH_OP.SND,2,S5_HH_OP,20000,35.135330696085084,0.9996915121851477
uk-6,S5_KICK.SND,5,S5_KICK,6000,31.375098878274503,0.9999785476437965
uk-6,S5_RIDE1.SND,10,S5_RIDE1,60000,35.42529570355598,0.9856871884569398
uk-6,S5_RIDE2.SND,11,S5_RIDE2,72000,35.55836543068846,0.9958434284177707
uk-6,S5_SNR1.SND,3,S5_SNR1,18000,33.77373249820494,0.999684206723964
uk-6,S5_SNR2.SND,4,S5_SNR2,18000,34.25590461037987,0.9998853011668769
uk-6,S5_TOM1.SND,6,S5_TOM1,16000,30.444907993755738,0.9995924959179872
uk-6,S5_TOM2.SND,7,S5_TOM2,14000,31.304799194992142,0.9997989259954662
uk-6,S5_TOM3.SND,8,S5_TOM3,16000,29.9719730471929,0.9997855557343123
uk-6,S5_TOM4.SND,9,S5_TOM4,20000,28.992454801288165,0.9997854030270318
uk-7,MEGACLAP.SND,12,MEGACLAP,10000,36.03258812828062,0.9999792356540376
uk-7,S6_CABAS.snd,9,S6_CABAS2,8000,34.24527372891411,0.9996523609572254
uk-7,S6_CAST1.SND,18,S6_CAST1,20000,19.57217951384167,0.998873767402756
uk-7,S6_CAST2.SND,19,S6_CAST2,20000,18.837991317791772,0.9990305205293527
uk-7,S6_CRS1.SND,7,S6_CRS1,60000,34.73296201440674,0.9998756483883434
uk-7,S6_CYMBL.SND,17,S6_CYMBL,80000,34.19727022126847,0.9991056235283786
uk-7,S6_HH_CL.SND,0,S6_HH_CL,3000,33.966432817572326,0.9996522136300842
uk-7,S6_HH_MD.SND,1,S6_HH_MD,10000,34.77645970847995,0.9995771935844716
uk-7,S6_HH_OP.SND,2,S6_HH_OP,14000,35.0027648426556,0.9996341058023167
uk-7,S6_KICK.SND,5,S6_KICK,8000,33.46698665598653,0.9997784474790851
uk-7,S6_MARAC.snd,21,S6_MARAC2,6000,34.99761641139506,0.999811429963679
uk-7,S6_SNAP.SND,4,S6_SNAP,4000,34.19423901173473,0.9998482957877658
uk-7,S6_SNR1.SND,3,S6_SNR1,10000,34.64116849562754,0.9999351569770785
uk-7,S6_SNR2.SND,13,S6_SNR2,20000,32.14122482261642,0.9999569689514917
uk-7,S6_SNR3.SND,14,S6_SNR3,14000,35.45859136745852,0.9999659484718474
uk-7,S6_TAMB.SND,11,S6_TAMB,20000,34.842782241117156,0.9992086568850238
uk-7,S6_TOM1.SND,6,S6_TOM1,20000,32.09121295300196,0.9999611800008126
uk-7,TAMBROLL.SND,10,TAMBROLL,14000,34.83067434160689,0.9994612494876944
uk-7,UK-BD04.SND,15,UK-BD04,40000,24.555605631692025,0.9999928087525678
uk-7,UK-CYM62.SND,32,UK-CYM62,60000,34.432420884497034,0.999930606871416
uk-7,UK-TM483.SND,16,UK-TM483,20000,40.293109970770125,0.9999944103599533
uk-7,UK-TM486.SND,29,UK-TM486,20000,41.12178919973767,0.999995904711582
uk-7,UK-TM489.SND,30,UK-TM489,20000,39.64518413733443,0.9999944748712973
uk-8,HAND_CLA.snd,12,HAND_CLAP,6280,28.66284798982337,0.9999084074326597
uk-8,METAL.SND,13,METAL,6360,34.63029480580234,0.9998358128640698
uk-8,S7_CHINA.SND,10,S7_CHINA,20000,37.210614086625895,0.9994248819689062
uk-8,S7_CRS1.SND,9,S7_CRS1,50000,34.66988285363806,0.9998286508848407
uk-8,S7_HH_CL.SND,0,S7_HH_CL,4000,34.86071072495297,0.9996805288766518
uk-8,S7_HH_MD.SND,1,S7_HH_MD,14000,35.379515600563586,0.9997207223956396
uk-8,S7_HH_OP.SND,2,S7_HH_OP,40000,36.62904784080463,0.99951158783868
uk-8,S7_RIDE1.SND,7,S7_RIDE1,40000,36.70210130415545,0.9967975695124167
uk-8,S7_RIDE2.SND,8,S7_RIDE2,40000,35.360431768504746,0.9971526392482115
uk-8,S7_ROTO1.SND,6,S7_ROTO1,20000,34.90960552205435,0.9999648558505305
uk-8,S7_ROTO2.SND,15,S7_ROTO2,20000,35.17822194985563,0.9999727224203465
uk-8,S7_ROTO3.SND,16,S7_ROTO3,20000,33.9029493816944,0.9999476430418589
uk-8,S7_ROTO4.SND,17,S7_ROTO4,24000,33.934779484264546,0.9999354959350366
uk-8,SCRATCH1.SND,22,SCRATCH1,12000,29.09497459925748,0.9999792428018152
uk-8,SCRATCH2.SND,24,SCRATCH2,20000,27.53698861823663,0.9999780240689254
uk-8,SCRATCH3.SND,18,SCRATCH3,40000,25.04924315852265,0.9999796049131108
uk-8,SCRATCH4.SND,19,SCRATCH4,20000,21.138191117091502,0.999977093194357
uk-8,UK-BD11.SND,5,UK-BD11,40000,30.346427391886078,0.9999918529337652
uk-8,UK-RIM32.SND,4,UK-RIM32,20000,32.26797663243169,0.9999112077576585
uk-8,UK-SN31.SND,3,UK-SN31,40000,35.13986062352948,0.9999784997030035
uk-8,WHIP_CLA.snd,14,WHIP_CLAP,16000,36.94582410908944,0.9962732339659334
uk-8,finger_c.SND,11,FINGER_CLICK,4880,32.35454517516937,0.999756612174875
